2023-06-11 15:46:39 | INFO | fairseq.trainer | begin training epoch 1
2023-06-11 15:46:39 | INFO | fairseq_cli.train | Start iterating over samples
2023-06-11 15:46:42 | INFO | fairseq.trainer | NOTE: gradient overflow detected, ignoring gradient, setting loss scale to: 64.0
2023-06-11 15:46:43 | INFO | fairseq.trainer | NOTE: gradient overflow detected, ignoring gradient, setting loss scale to: 32.0
2023-06-11 15:46:44 | INFO | fairseq.trainer | NOTE: gradient overflow detected, ignoring gradient, setting loss scale to: 16.0
2023-06-11 15:46:45 | INFO | fairseq.trainer | NOTE: gradient overflow detected, ignoring gradient, setting loss scale to: 8.0
2023-06-11 15:46:47 | INFO | fairseq.trainer | NOTE: gradient overflow detected, ignoring gradient, setting loss scale to: 4.0
2023-06-11 15:48:16 | INFO | train_inner | epoch 001:    105 / 11284 loss=14.283, nll_loss=14.098, ppl=17539.3, wps=66705.7, ups=1.13, wpb=59293.9, bsz=2227.4, num_updates=100, lr=1.0099e-05, gnorm=3.311, loss_scale=4, train_wall=85, gb_free=39.5, wall=116
2023-06-11 15:49:44 | INFO | train_inner | epoch 001:    205 / 11284 loss=12.554, nll_loss=12.173, ppl=4617.55, wps=67743.1, ups=1.14, wpb=59471.6, bsz=2273.9, num_updates=200, lr=2.0098e-05, gnorm=1.243, loss_scale=4, train_wall=81, gb_free=39.6, wall=204
2023-06-11 15:51:11 | INFO | train_inner | epoch 001:    305 / 11284 loss=11.317, nll_loss=10.769, ppl=1745.14, wps=67964.6, ups=1.14, wpb=59678.3, bsz=2190.5, num_updates=300, lr=3.0097e-05, gnorm=1.186, loss_scale=4, train_wall=82, gb_free=39.6, wall=292
2023-06-11 15:52:41 | INFO | train_inner | epoch 001:    405 / 11284 loss=10.532, nll_loss=9.837, ppl=914.52, wps=66908.4, ups=1.12, wpb=59682.2, bsz=2236.7, num_updates=400, lr=4.0096e-05, gnorm=1.207, loss_scale=4, train_wall=84, gb_free=39.6, wall=381
2023-06-11 15:54:09 | INFO | train_inner | epoch 001:    505 / 11284 loss=10.127, nll_loss=9.341, ppl=648.47, wps=67171.1, ups=1.13, wpb=59511.7, bsz=2192.5, num_updates=500, lr=5.0095e-05, gnorm=1.28, loss_scale=4, train_wall=84, gb_free=39.4, wall=470
2023-06-11 15:55:37 | INFO | train_inner | epoch 001:    605 / 11284 loss=9.791, nll_loss=8.947, ppl=493.46, wps=68048.1, ups=1.14, wpb=59540.2, bsz=2200.3, num_updates=600, lr=6.0094e-05, gnorm=1.342, loss_scale=4, train_wall=82, gb_free=39.5, wall=557
2023-06-11 15:57:03 | INFO | train_inner | epoch 001:    705 / 11284 loss=9.484, nll_loss=8.592, ppl=385.87, wps=68751.7, ups=1.16, wpb=59435.2, bsz=2234.7, num_updates=700, lr=7.0093e-05, gnorm=1.392, loss_scale=4, train_wall=82, gb_free=39.6, wall=644
2023-06-11 15:58:31 | INFO | train_inner | epoch 001:    805 / 11284 loss=9.193, nll_loss=8.257, ppl=305.93, wps=67407.2, ups=1.13, wpb=59556.5, bsz=2300.8, num_updates=800, lr=8.0092e-05, gnorm=1.163, loss_scale=4, train_wall=83, gb_free=39.6, wall=732
2023-06-11 15:59:59 | INFO | train_inner | epoch 001:    905 / 11284 loss=8.944, nll_loss=7.969, ppl=250.48, wps=67977.6, ups=1.15, wpb=59354.5, bsz=2211.5, num_updates=900, lr=9.0091e-05, gnorm=1.238, loss_scale=4, train_wall=83, gb_free=39.2, wall=819
2023-06-11 16:01:22 | INFO | train_inner | epoch 001:   1005 / 11284 loss=8.713, nll_loss=7.7, ppl=207.95, wps=70900, ups=1.19, wpb=59356.7, bsz=2129, num_updates=1000, lr=0.00010009, gnorm=1.187, loss_scale=4, train_wall=79, gb_free=39.6, wall=903
2023-06-11 16:02:48 | INFO | train_inner | epoch 001:   1105 / 11284 loss=8.542, nll_loss=7.502, ppl=181.24, wps=69187.1, ups=1.17, wpb=59338.2, bsz=2348, num_updates=1100, lr=0.000110089, gnorm=1.175, loss_scale=8, train_wall=81, gb_free=39.6, wall=989
2023-06-11 16:04:15 | INFO | train_inner | epoch 001:   1205 / 11284 loss=8.345, nll_loss=7.273, ppl=154.69, wps=68658.7, ups=1.16, wpb=59290.3, bsz=2234.5, num_updates=1200, lr=0.000120088, gnorm=1.183, loss_scale=8, train_wall=82, gb_free=39.6, wall=1075
2023-06-11 16:05:42 | INFO | train_inner | epoch 001:   1305 / 11284 loss=8.178, nll_loss=7.079, ppl=135.2, wps=67695.5, ups=1.14, wpb=59465.1, bsz=2298.8, num_updates=1300, lr=0.000130087, gnorm=1.169, loss_scale=8, train_wall=84, gb_free=39.6, wall=1163
